epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2837,1.89142,2.55478,0.68064,1.76751,2.32711,0.98473,0.96429,0.993,0.25429,0.91179,0.89286,0.865,0.46158,2.33103,2.75843,0.86564,2.03379,4.14842,0.0006,0.0006,0.0946
2,13.6684,1.20551,1.75591,0.60521,1.00496,1.79629,0.56753,0.75,0.68303,0.16766,0.65147,0.85714,0.89522,0.51447,2.15042,1.61352,0.94935,6.58919,5.53946,0.00129142,0.00129142,0.0882914
3,16.7506,1.31571,1.66627,0.61421,0.96446,1.88952,0.15763,0.39286,0.12581,0.0277,0.35433,0.75,0.396,0.19133,3.28272,3.62311,0.52737,13.7795,10.5745,0.0019736,0.0019736,0.0819736
4,19.8511,1.07707,1.65747,0.58106,0.85222,1.70631,0.52381,0.39286,0.45687,0.14507,0.52381,0.39286,0.43791,0.20954,2.04275,2.92952,0.20079,28.929,8.54425,0.00264654,0.00264654,0.0756465
5,22.9291,1.10034,1.36916,0.57066,0.81953,1.72755,0.00458,0.07143,0.00055,8e-05,0.03672,0.57143,0.05264,0.00961,4.78185,7.9569,0.87824,91.7874,27.2191,0.00331024,0.00331024,0.0693102
6,26.0748,1.1513,1.45007,0.58956,0.85592,1.75059,0.14096,0.14286,0.06534,0.03397,0.10566,0.10714,0.04573,0.02028,3.15859,5.92238,0.51224,10.4825,18.7841,0.0039647,0.0039647,0.0629647
7,29.1791,1.02131,1.33059,0.48818,0.79288,1.63386,0,0,0,0,0.04,0.03571,0.00219,0.00022,0.00331,9.80386,0.80646,3.93469,0.00295,0.00460992,0.00460992,0.0566099
8,32.3667,0.99711,1.10439,0.44166,0.76881,1.5956,0,0,0,0,0.03529,0.42857,0.01569,0.00474,6.63912,11.0796,0.08795,312.589,43.8605,0.0052459,0.0052459,0.0502459
9,35.5686,0.98791,0.92651,0.41958,0.82614,1.62382,0.22638,0.35714,0.2719,0.0518,0.04215,0.64286,0.03572,0.01199,3.77714,6.63198,0.07801,6.71913,11.6779,0.00587264,0.00587264,0.0438726
10,38.7529,0.99652,1.20619,0.43264,0.82476,1.59356,0,0,0,0,0.04743,0.85714,0.07696,0.0261,5.12597,5.35821,0.32989,2.83175,14.2281,0.00649014,0.00649014,0.0374901
11,42.0208,0.91579,0.91267,0.39028,0.78126,1.55749,0.42799,0.89286,0.81256,0.32004,0.13622,0.53571,0.12821,0.04927,2.07846,6.12838,0.06756,6.77753,3.75078,0.0070984,0.0070984,0.0310984
