epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43175,1.47769,3.38736,0.7165,1.96114,1.85013,0.92215,0.93333,0.97567,0.68445,0.2295,0.2,0.2487,0.06331,1.11873,5.25793,0.67525,1.09842,1.77839,0.00028,0.00028,0.00028
2,9.05341,0.63273,2.70694,0.71254,0.81394,1.32139,0.88109,0.53333,0.52722,0.32295,0.36036,0.37658,0.31873,0.0679,3.30495,4.83206,0.6579,3.04226,3.9729,0.000574258,0.000574258,0.000574258
3,12.4764,0.52972,2.84579,0.67458,0.59027,1.17875,0.79248,0.53333,0.51462,0.13625,0.67192,0.4,0.51444,0.17753,3.71509,4.24424,0.63776,3.62087,3.49392,0.000862576,0.000862576,0.000862576
4,16.1061,0.42832,3.10952,0.67364,0.51923,1.11521,0.87259,1,0.99125,0.84899,0.52272,0.6,0.55276,0.17333,0.71135,3.51151,0.57481,1.42481,0.96013,0.00114495,0.00114495,0.00114495
5,19.6506,0.46442,2.51482,0.66176,0.51715,1.15491,0.69451,1,0.96433,0.78495,0.64821,0.93333,0.85442,0.30909,0.69923,2.86216,0.64544,2.88165,1.25997,0.00142139,0.00142139,0.00142139
6,23.0656,0.53291,2.62472,0.66001,0.51605,1.21515,0.9551,0.93333,0.99125,0.87538,0.9551,0.93333,0.99125,0.33346,0.48101,2.60006,0.73117,0.94088,0.94933,0.00169189,0.00169189,0.00169189
7,26.7042,0.48052,2.2938,0.62777,0.53897,1.11118,0.93689,1,0.995,0.92427,0.93689,1,0.995,0.35397,0.39614,2.77965,0.604,1.59335,0.82153,0.0018812,0.0018812,0.0018812
8,30.1873,0.41134,2.34438,0.62895,0.47156,1.12179,0.7679,0.93333,0.92519,0.48099,0.26782,0.33333,0.24518,0.07986,1.69283,4.30018,0.46115,2.70247,2.04208,0.0018614,0.0018614,0.0018614
9,33.7915,0.42512,2.00131,0.60517,0.41637,1.1202,0.919,0.86667,0.91944,0.56387,0.79395,0.73333,0.80962,0.2947,1.41746,3.04719,0.45711,2.05708,2.27063,0.0018416,0.0018416,0.0018416
10,37.2294,0.43039,2.32914,0.61,0.53924,1.14073,0.93306,1,0.995,0.76356,0.93306,1,0.995,0.43653,0.88388,2.53009,0.45895,1.4955,1.37698,0.0018218,0.0018218,0.0018218
11,40.8553,0.43361,1.67015,0.59987,0.5073,1.12688,0.93306,1,0.995,0.76356,0.93306,1,0.995,0.43653,0.88388,2.53009,0.45895,1.4955,1.37698,0.001802,0.001802,0.001802
12,44.6307,0.33652,2.04166,0.59374,0.45964,1.03864,0.87856,1,0.98794,0.84219,0.57258,0.66667,0.55084,0.25996,0.66018,3.10216,0.44644,1.24253,1.11731,0.0017822,0.0017822,0.0017822
13,48.1522,0.38163,2.01685,0.5816,0.47989,1.11861,0.92151,1,0.97875,0.72377,0.79165,0.86667,0.80838,0.27179,0.90527,2.67633,0.57248,1.33272,1.23902,0.0017624,0.0017624,0.0017624
14,51.6477,0.34755,1.88768,0.57531,0.43327,1.04569,0.93146,0.90716,0.97567,0.86465,0.93146,0.90716,0.97567,0.34753,0.60909,2.54968,0.58027,0.76678,0.95176,0.0017426,0.0017426,0.0017426
15,55.0647,0.31512,1.84413,0.55742,0.42541,1.04025,0.99322,1,0.995,0.88419,0.99322,1,0.995,0.45641,0.53486,2.36165,0.34401,0.5188,0.93261,0.0017228,0.0017228,0.0017228
16,58.5689,0.35645,1.92149,0.57034,0.45615,1.05501,0.99406,1,0.995,0.87452,0.99406,1,0.995,0.49219,0.60334,1.85361,0.36097,0.66752,1.01873,0.001703,0.001703,0.001703
17,62.1925,0.33796,1.65744,0.5606,0.4432,1.05168,0.99243,1,0.995,0.89268,0.92612,0.93333,0.877,0.3059,0.53843,2.193,0.44116,0.63175,0.88474,0.0016832,0.0016832,0.0016832
18,65.8936,0.30492,1.94741,0.60099,0.40408,1.0437,0.99823,1,0.995,0.94216,0.99823,1,0.995,0.39482,0.38079,2.21322,0.51091,0.47649,0.75772,0.0016634,0.0016634,0.0016634
19,69.6176,0.28193,1.54011,0.55931,0.36023,0.98874,0.99435,1,0.995,0.98277,0.99435,1,0.995,0.55172,0.33867,2.07563,0.4141,0.51063,0.71946,0.0016436,0.0016436,0.0016436
20,73.2375,0.31466,1.51135,0.5227,0.41523,0.98758,0.9955,1,0.995,0.98453,0.9955,1,0.995,0.5715,0.27879,1.9077,0.27387,0.48426,0.63067,0.0016238,0.0016238,0.0016238
21,76.7397,0.29374,1.55955,0.53762,0.3879,1.01439,0.9968,1,0.995,0.98367,0.93027,0.93333,0.934,0.40303,0.25846,2.0294,0.22453,0.40927,0.56582,0.001604,0.001604,0.001604
22,80.2886,0.30636,1.60244,0.53018,0.39541,1.03613,0.9962,1,0.995,0.995,0.9962,1,0.995,0.5669,0.22923,1.41322,0.31637,0.31091,0.55952,0.0015842,0.0015842,0.0015842
23,83.9717,0.32403,1.50501,0.53636,0.3856,1.03451,0.99636,1,0.995,0.995,0.99636,1,0.995,0.49862,0.29172,1.94704,0.53399,0.40331,0.68155,0.0015644,0.0015644,0.0015644
24,87.5505,0.26859,1.44694,0.51129,0.35775,0.98073,0.99592,1,0.995,0.989,0.99592,1,0.995,0.4247,0.42344,2.35102,0.79471,0.55847,0.77434,0.0015446,0.0015446,0.0015446
25,90.9573,0.28411,1.60017,0.51712,0.35457,1.00213,0.99491,1,0.995,0.9872,0.99491,1,0.995,0.43906,0.43451,2.3279,0.68537,0.57183,0.78071,0.0015248,0.0015248,0.0015248
26,94.6203,0.27866,1.46679,0.5088,0.33088,0.99779,0.99639,1,0.995,0.97154,0.99639,1,0.995,0.49686,0.38908,1.861,0.44627,0.48733,0.72406,0.001505,0.001505,0.001505
27,98.9337,0.33182,1.51627,0.53409,0.42683,1.09961,0.99639,1,0.995,0.97154,0.99639,1,0.995,0.49686,0.38908,1.861,0.44627,0.48733,0.72406,0.0014852,0.0014852,0.0014852
28,103.078,0.28532,1.30334,0.45878,0.34391,1.04743,0.99644,1,0.995,0.97238,0.99644,1,0.995,0.58765,0.34141,1.3969,0.33437,0.44693,0.69111,0.0014654,0.0014654,0.0014654
29,106.797,0.26456,1.35734,0.46386,0.35859,1.01345,0.99664,1,0.995,0.98033,0.99664,1,0.995,0.6425,0.37048,1.27035,0.29998,0.49893,0.70841,0.0014456,0.0014456,0.0014456
30,110.581,0.31801,1.33779,0.5028,0.40913,1.01728,0.99613,1,0.995,0.97132,0.99613,1,0.995,0.71615,0.37796,1.20178,0.28832,0.59567,0.73441,0.0014258,0.0014258,0.0014258
31,114.243,0.27359,1.35788,0.46754,0.34716,0.97725,0.99646,1,0.995,0.97251,0.99646,1,0.995,0.6829,0.35718,1.17269,0.28916,0.51471,0.72098,0.001406,0.001406,0.001406
32,117.68,0.23897,1.27114,0.48688,0.31471,0.95898,0.99479,1,0.995,0.9575,0.99479,1,0.995,0.66921,0.4614,1.17863,0.28484,0.52397,0.87178,0.0013862,0.0013862,0.0013862
33,121.575,0.2573,1.10757,0.49404,0.34155,1.00576,0.9967,1,0.995,0.967,0.9967,1,0.995,0.67724,0.39969,1.30905,0.28931,0.39844,0.79673,0.0013664,0.0013664,0.0013664
34,125.394,0.23473,1.06081,0.50057,0.32119,0.97659,0.99678,1,0.995,0.995,0.99678,1,0.995,0.64678,0.28642,1.1966,0.32421,0.30831,0.63316,0.0013466,0.0013466,0.0013466
35,129.009,0.23945,1.37921,0.51868,0.32732,0.97788,0.99678,1,0.995,0.995,0.99678,1,0.995,0.70767,0.26816,1.05944,0.38078,0.3226,0.58895,0.0013268,0.0013268,0.0013268
36,132.774,0.28148,1.09199,0.52059,0.35597,1.0175,0.99677,1,0.995,0.98277,0.99677,1,0.995,0.67207,0.25693,1.10823,0.35614,0.35608,0.58875,0.001307,0.001307,0.001307
37,136.448,0.23977,1.01539,0.45975,0.2993,0.94916,0.99675,1,0.995,0.995,0.99675,1,0.995,0.65854,0.28464,1.10518,0.25972,0.36704,0.66663,0.0012872,0.0012872,0.0012872
38,140.078,0.22532,0.89582,0.43036,0.30106,0.97213,0.99634,1,0.995,0.963,0.99634,1,0.995,0.68903,0.34323,1.11249,0.18641,0.47273,0.78341,0.0012674,0.0012674,0.0012674
39,143.448,0.2431,1.09148,0.42206,0.33576,0.99185,0.99648,1,0.995,0.98007,0.99648,1,0.995,0.70472,0.28806,1.07305,0.20548,0.4494,0.71215,0.0012476,0.0012476,0.0012476
40,146.864,0.24763,1.03078,0.40781,0.34,0.98473,0.99665,1,0.995,0.995,0.99665,1,0.995,0.72266,0.24945,1.15135,0.23364,0.38299,0.62106,0.0012278,0.0012278,0.0012278
41,150.543,0.21385,0.87434,0.40983,0.29583,0.94588,0.99676,1,0.995,0.98633,0.99676,1,0.995,0.67943,0.23461,1.37921,0.22989,0.27557,0.55255,0.001208,0.001208,0.001208
42,154.156,0.23666,1.07959,0.41677,0.33402,0.98022,0.99664,1,0.995,0.9854,0.99664,1,0.995,0.6651,0.26709,1.24572,0.22183,0.29567,0.56768,0.0011882,0.0011882,0.0011882
43,157.527,0.21439,1.31868,0.44499,0.31374,0.95184,0.99664,1,0.995,0.9854,0.99664,1,0.995,0.6651,0.26709,1.24572,0.22183,0.29567,0.56768,0.0011684,0.0011684,0.0011684
44,161.147,0.21305,0.95694,0.45502,0.31231,0.95149,0.99649,1,0.995,0.98673,0.99649,1,0.995,0.71707,0.25848,1.02958,0.21518,0.29971,0.58367,0.0011486,0.0011486,0.0011486
45,164.899,0.20926,1.28315,0.4587,0.28606,0.95417,0.9966,1,0.995,0.995,0.9966,1,0.995,0.73639,0.24065,0.97992,0.23836,0.32515,0.56652,0.0011288,0.0011288,0.0011288
